Curs,Tipus d'estudi,Tipus d'universitat,Universitat,Tipus de centre,Nacionalitat,Sexe,Comarca del centre,Nou accés,Matrícula,Matrícula ETC,Titulats
2019,doctorat,NO PRESENCIAL,UOC,Integrat,NACIONALITAT ESPANYOLA,DONA,Barcelonès,20,85,na,7
2019,doctorat,NO PRESENCIAL,UOC,Integrat,NACIONALITAT ESPANYOLA,HOME,Barcelonès,19,104,na,*
2019,doctorat,NO PRESENCIAL,UOC,Integrat,NACIONALITAT ESTRANGERA,DONA,Barcelonès,11,55,na,*
2019,doctorat,NO PRESENCIAL,UOC,Integrat,NACIONALITAT ESTRANGERA,HOME,Barcelonès,13,50,na,*
2019,doctorat,PRIVADA,UAO,Integrat,NACIONALITAT ESPANYOLA,DONA,Barcelonès,7,18,na,*
2019,doctorat,PRIVADA,UAO,Integrat,NACIONALITAT ESPANYOLA,HOME,Barcelonès,13,29,na,*
2019,doctorat,PRIVADA,UAO,Integrat,NACIONALITAT ESTRANGERA,DONA,Barcelonès,*,5,na,0
2019,doctorat,PRIVADA,UAO,Integrat,NACIONALITAT ESTRANGERA,HOME,Barcelonès,9,11,na,0
2019,doctorat,PRIVADA,UIC,Integrat,NACIONALITAT ESPANYOLA,DONA,Barcelonès,35,114,na,*
2019,doctorat,PRIVADA,UIC,Integrat,NACIONALITAT ESPANYOLA,HOME,Barcelonès,36,95,na,*
2019,doctorat,PRIVADA,UIC,Integrat,NACIONALITAT ESTRANGERA,DONA,Barcelonès,15,45,na,6
2019,doctorat,PRIVADA,UIC,Integrat,NACIONALITAT ESTRANGERA,HOME,Barcelonès,17,44,na,*
2019,doctorat,PRIVADA,URL,Integrat,NACIONALITAT ESPANYOLA,DONA,Barcelonès,31,165,na,20
2019,doctorat,PRIVADA,URL,Integrat,NACIONALITAT ESPANYOLA,HOME,Barcelonès,37,166,na,19
2019,doctorat,PRIVADA,URL,Integrat,NACIONALITAT ESTRANGERA,DONA,Barcelonès,19,81,na,8
2019,doctorat,PRIVADA,URL,Integrat,NACIONALITAT ESTRANGERA,HOME,Barcelonès,8,36,na,5
2019,doctorat,PRIVADA,UVIC-UCC,Integrat,NACIONALITAT ESPANYOLA,DONA,Barcelonès,0,6,na,0
2019,doctorat,PRIVADA,UVIC-UCC,Integrat,NACIONALITAT ESPANYOLA,DONA,Gironès,*,*,na,0
2019,doctorat,PRIVADA,UVIC-UCC,Integrat,NACIONALITAT ESPANYOLA,DONA,Osona,34,125,na,7
2019,doctorat,PRIVADA,UVIC-UCC,Integrat,NACIONALITAT ESPANYOLA,HOME,Barcelonès,*,*,na,0
2019,doctorat,PRIVADA,UVIC-UCC,Integrat,NACIONALITAT ESPANYOLA,HOME,Gironès,5,14,na,0
2019,doctorat,PRIVADA,UVIC-UCC,Integrat,NACIONALITAT ESPANYOLA,HOME,Osona,18,84,na,8
2019,doctorat,PRIVADA,UVIC-UCC,Integrat,NACIONALITAT ESTRANGERA,DONA,Barcelonès,0,*,na,0
2019,doctorat,PRIVADA,UVIC-UCC,Integrat,NACIONALITAT ESTRANGERA,DONA,Gironès,*,*,na,0
2019,doctorat,PRIVADA,UVIC-UCC,Integrat,NACIONALITAT ESTRANGERA,DONA,Osona,11,21,na,*
2019,doctorat,PRIVADA,UVIC-UCC,Integrat,NACIONALITAT ESTRANGERA,HOME,Barcelonès,0,*,na,0
2019,doctorat,PRIVADA,UVIC-UCC,Integrat,NACIONALITAT ESTRANGERA,HOME,Gironès,0,*,na,0
2019,doctorat,PRIVADA,UVIC-UCC,Integrat,NACIONALITAT ESTRANGERA,HOME,Osona,6,9,na,*
2019,doctorat,PRIVADA,UVIC-UCC,Integrat,NACIONALITAT ESTRANGERA,HOME,Vallès Occidental,0,*,na,0
2019,doctorat,PÚBLICA,UAB,Integrat,NACIONALITAT ESPANYOLA,DONA,Barcelonès,7,42,na,6
2019,doctorat,PÚBLICA,UAB,Integrat,NACIONALITAT ESPANYOLA,DONA,Tarragonès,0,*,na,0
2019,doctorat,PÚBLICA,UAB,Integrat,NACIONALITAT ESPANYOLA,DONA,Vallès Occidental,277,1652,na,232
2019,doctorat,PÚBLICA,UAB,Integrat,NACIONALITAT ESPANYOLA,HOME,Barcelonès,5,21,na,*
